"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"05001","STANDARD","White River Junction","White Riv Jct","Lyman, Russtown","VT","Windsor County","America/New_York","802","43.65","-72.32","NA","US","0","6028",
"05009","UNIQUE","White River Junction","White Riv Jct","Veterans Administration","VT","Windsor County","America/New_York","603","43.65","-72.32","NA","US","0","0",
"05030","PO BOX","Ascutney",,,"VT","Windsor County","America/New_York","802","43.41","-72.42","NA","US","0","676",
"05031","PO BOX","Barnard",,,"VT","Windsor County","America/New_York","802","43.73","-72.62","NA","US","0","0",
"05032","STANDARD","Bethel",,"East Bethel, Lillieville, Olympus","VT","Windsor County","America/New_York","802","43.83","-72.63","NA","US","0","2051",
"05033","STANDARD","Bradford",,"Lower Plain, South Corinth","VT","Orange County","America/New_York","802","43.99","-72.12","NA","US","0","2569",
"05034","STANDARD","Bridgewater",,"Brgwtr, W Bridgewater, West Bridgewater","VT","Windsor County","America/New_York","802","43.58","-72.63","NA","US","0","0",
"05035","STANDARD","Bridgewater Corners","Brdgewtr Cors, Bridgewtr Cor","Brgwtr Cors, Bridgewater Center, Bridgewater Corn, Bridgewtr Ct, W Bridgewater, West Bridgewater","VT","Windsor County","America/New_York","802","43.6","-72.68","NA","US","0","527",
"05036","STANDARD","Brookfield",,"Brookfield Center","VT","Orange County","America/New_York","802","44.05","-72.6","NA","US","0","802",
"05037","STANDARD","Brownsville",,,"VT","Windsor County","America/New_York","802","43.45","-72.49","NA","US","0","717",
"05038","STANDARD","Chelsea",,,"VT","Orange County","America/New_York","802","43.98","-72.47","NA","US","0","1172",
"05039","STANDARD","Corinth",,"Cookville, Corinth Center, Corinth Corners, Goose Green, West Corinth","VT","Orange County","America/New_York","802","44.02","-72.23","NA","US","0","718",
"05040","STANDARD","East Corinth",,,"VT","Orange County","America/New_York","802","44.09","-72.22","NA","US","0","506",
"05041","STANDARD","East Randolph",,"East Brookfield, North Randolph","VT","Orange County","America/New_York","802","43.93","-72.55","NA","US","0","0",
"05042","STANDARD","East Ryegate","Ryegate","Mosquitoville, Ryegate Corner","VT","Caledonia County","America/New_York","802","44.19","-72.07","NA","US","0","510",
